experiment,dependence,n,sigma,rep,khat,ub_cert,rem1_mean,rem1_p,pi1,rem2_mean,rem2_p,pi2
ordersweep_censoring,pair0.99,20000,0.5,19,2,4.0921995972260594e-05,0.680541733083426,5.897115706865463e-07,1.0,-2.4381903303016817e-05,0.8370383391047358,0.3
ordersweep_censoring,pair0.9,5000,0.0,0,3,,0.7250583980140435,5.981610762262335e-10,1.0,0.008108684742968364,2.350900801251221e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,1,3,,0.7085637630912218,4.082290061546701e-12,1.0,0.007524235995694339,2.1761083163207573e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,2,3,,0.7085626011228849,4.959910260282641e-10,1.0,0.009017331341516766,1.1992377264569143e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,3,3,,0.6739232207062125,2.0118573473837387e-11,1.0,0.008331005508619815,5.0168455999144435e-05,1.0
ordersweep_censoring,pair0.9,5000,0.0,4,3,,0.7377713699413656,1.8198664797353103e-11,1.0,0.006899271131032314,1.0368136375005221e-05,1.0
ordersweep_censoring,pair0.9,5000,0.0,5,3,,0.6993787418630898,2.523033115764406e-09,1.0,0.01038633442282214,9.754074783097089e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,6,3,,0.7186418260708884,6.299949451005205e-11,1.0,0.01091148304647086,2.3824028294594513e-07,1.0
ordersweep_censoring,pair0.9,5000,0.0,7,3,,0.7466558696669644,1.4104273304837989e-12,1.0,0.006018167842073052,0.00011885903213137983,1.0
ordersweep_censoring,pair0.9,5000,0.0,8,3,,0.722162939484684,1.8848256289061283e-12,1.0,0.00826083055552379,4.173712377486538e-05,1.0
ordersweep_censoring,pair0.9,5000,0.0,9,3,,0.7328822411788505,1.634767876623755e-10,1.0,0.008931215627098744,8.815343826129585e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,10,3,,0.6935268832309894,1.8233192733418946e-12,1.0,0.00710433582069957,0.0001188644176989273,1.0
ordersweep_censoring,pair0.9,5000,0.0,11,3,,0.7277993223946874,2.064126647383091e-12,1.0,0.008986927421626567,4.1853886346365776e-05,1.0
ordersweep_censoring,pair0.9,5000,0.0,12,3,,0.721840883183382,6.952238784663223e-11,1.0,0.00876784545905499,2.5691792098214705e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,13,3,,0.7765019406289232,2.2835241919594296e-08,1.0,0.007130702607094519,6.0629353836660904e-05,1.0
ordersweep_censoring,pair0.9,5000,0.0,14,3,,0.7522004021050819,2.7180395489878606e-08,1.0,0.008984782301641448,4.871939239681211e-05,1.0
ordersweep_censoring,pair0.9,5000,0.0,15,3,,0.7532563782987103,2.1929404958598298e-09,1.0,0.0073373735745137615,7.04784150817872e-07,1.0
ordersweep_censoring,pair0.9,5000,0.0,16,3,,0.7016721560451532,3.4258207382009687e-10,1.0,0.006172431688548641,6.261859487488586e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,17,3,,0.7045127701235611,4.5899601897048115e-09,1.0,0.008134244469958163,2.186875689313972e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,18,3,,0.7253611404347744,9.513639875891045e-10,1.0,0.00900096709332976,9.467439026744628e-06,1.0
ordersweep_censoring,pair0.9,5000,0.0,19,3,,0.7467647618579843,3.2123881332779547e-10,1.0,0.008488142962150424,4.022828894223451e-06,1.0
ordersweep_censoring,pair0.9,5000,0.5,0,3,,0.625559321363367,4.880194026668505e-10,1.0,0.005771083617246442,0.00024603340657103345,1.0
ordersweep_censoring,pair0.9,5000,0.5,1,3,,0.6388051215601329,8.695266728864226e-13,1.0,0.006838598162645893,0.0008207684726314612,1.0
ordersweep_censoring,pair0.9,5000,0.5,2,3,,0.6239057346004954,6.61222854247967e-10,1.0,0.0071092448928728015,0.000565190311185293,1.0
ordersweep_censoring,pair0.9,5000,0.5,3,3,,0.6557312279331107,1.404210081545898e-11,1.0,0.0065012879309649715,0.0002609261637405158,1.0
ordersweep_censoring,pair0.9,5000,0.5,4,3,,0.6495503962336249,1.1567857782779356e-11,1.0,0.007930743150503194,0.00012851129470259348,1.0
