experiment,sigma,rep,data_hash,khat,rem2_mean,rem2_p,ub_cert,true_gap
coverage_indep,2.0,31,4f941bcf0024285ccb8af32e1ed47c8d95b5b5491da94a330cebc60dbb6df191,3,0.0032305873912249925,0.0003355808965544993,,0.0030128023234464434
coverage_indep,2.0,32,4eb5a2e79d0b7463272c1e51c0f385c5679c781d62a66e8b84d7437d18eb351c,3,0.0024600488874385595,0.00038174372266697176,,0.0030128023234464434
coverage_indep,2.0,33,d72bed5540ff052c22ab769ffcc498a3373afd20ed08cbe832b90608e0e547dd,3,0.002421057224252865,0.002946223684432203,,0.0030128023234464434
coverage_indep,2.0,34,550309851dc31a176cf69f7ca68c19cc2d02c71d33a428121b33ef964e0c506f,3,0.001781604330671971,0.0023401183761410094,,0.0030128023234464434
coverage_indep,2.0,35,32acd31718857c9d738d3b1a7c623caf1f1f33b3f9a4b4da3bc0e9c0e8dd8efc,3,0.0028486604629779253,0.00010747276238098902,,0.0030128023234464434
coverage_indep,2.0,36,562753d7f52a46f364bb44bf4143966e50fb824a764707ece4fa057aab4468b6,3,0.00238107283299821,0.0019092014975429228,,0.0030128023234464434
coverage_indep,2.0,37,392a89d2af31ce4e2223378a19fff59296813bc4790ff9858232bafb0cfd59ee,3,0.002470384435618156,0.002826185956352867,,0.0030128023234464434
coverage_indep,2.0,38,fbe8dfe02a7992d6b8338ceb4066548af4fa6e1fb8541a5851da8cfbffc418e1,3,0.0025898737122983296,0.0028717627705898696,,0.0030128023234464434
coverage_indep,2.0,39,8c8d0b689d90b26fac0019fa6602fd5cba3ab7ba6b2033b39c4d1bd58b4cfc2c,3,0.0025285541011218606,0.01073417760273998,,0.0030128023234464434
coverage_indep,2.0,40,a5e60d25693560271adcf47c0996e2fbeb2578c6c8313fb3ee0ceea4739db1ca,3,0.0025469148526191753,0.0020361047201574722,,0.0030128023234464434
coverage_indep,2.0,41,e3788b97efed3dff201338c926ea368443e2f01fe2d47c0e18668b31e1fde988,3,0.003160507101999854,0.0002914312307633615,,0.0030128023234464434
coverage_indep,2.0,42,bda5506ba8ffa988b7c7e4ff2a99743dbc8273eb5910f6836c3c12d838958493,3,0.003479834559593331,0.0003691713798024132,,0.0030128023234464434
coverage_indep,2.0,43,bdaa882262dfbb318aa10ce30deb16ad8c3ac174353b96a95bbdb3b99471e7e8,3,0.0030100663611891563,0.008792600817685514,,0.0030128023234464434
coverage_indep,2.0,44,c9a660c630e5af521f6436d1d02bd6fe2dfea985c23ee5ee0f046495d05a307c,3,0.0027123548037163657,0.0021646931461071217,,0.0030128023234464434
coverage_indep,2.0,45,ca7078c624114f8b47c86f52abf87abf25b6e8e3a822190156d0c7f4575f1b8a,3,0.0033191612680479763,0.0005855075395075904,,0.0030128023234464434
coverage_indep,2.0,46,d419ef36a58f8e8c7629c4a33a47bc3cf5b0c21519aefb6a797de8816de3a19e,3,0.001609062930618943,0.006687229989136179,,0.0030128023234464434
coverage_indep,2.0,47,3c504247f9abc92f8bcb17222cff61103f4b7baacf5e65fd63e8842362a89249,3,0.0020858104471527692,0.01788488656059295,,0.0030128023234464434
coverage_indep,2.0,48,1cf5e169d4818d6a69292b90d2a256e24ffa99290bbf59d73ff7561c7c1b090a,3,0.002815425760328305,0.00020112176854103492,,0.0030128023234464434
coverage_indep,2.0,49,64065458aa04cced6574e29d702c2b6a663d2b923d17ebe5220b54ded2e9de5e,3,0.0021390214020360564,0.0023018277141705346,,0.0030128023234464434
coverage_indep,3.0,0,3a5cf592604019a86ec0975198036afcce64ad611fdc44bbdc3f581348d8c1af,3,0.002118213908681832,0.0017000890170116856,,0.0017164157815159598
coverage_indep,3.0,1,55fdc000e3d0000bb20398e3f0e1a27ff4cc02ce2b1797ad3be3033891c67a98,2,0.0011091363130065867,0.05270898592168127,0.0024478746732353586,0.0017164157815159598
coverage_indep,3.0,2,66883c0fb73e983a1b034fbf84dd7b53b9c1edd1a0d55ab43b5ffe5d9739308e,2,0.0018352391914206122,0.06881304458728643,0.004112340225536841,0.0017164157815159598
coverage_indep,3.0,3,74cba1ffae5ad02c558f17356eef3c47fdb7655f60adcc2dca8b5dd44d5944d5,2,0.0004307112837818705,0.10760966592172272,0.0012341610349091907,0.0017164157815159598
coverage_indep,3.0,4,5a26c913ea97d5ad112e9e634f289bc477cf54d9849a10e78ba9205a623742b2,3,0.0015078095034046445,0.041969398485638854,,0.0017164157815159598
coverage_indep,3.0,5,0dfa4ff5c98f85947531a72fce3efa3b9cf061f50636ee9debb60c991c1fded8,3,0.0012487041089434658,0.002129859086343555,,0.0017164157815159598
coverage_indep,3.0,6,6932117e31100eb0fb999acad75145e589cddbce3ac6a384caafb4a64227551d,3,0.0018028577046915073,0.0005204253611038601,,0.0017164157815159598
coverage_indep,3.0,7,21b0122976e3b158c22c6f80ccc14a3571081ba440c9b709039f57b035bc9002,3,0.002535486607746662,0.0011668231449966093,,0.0017164157815159598
coverage_indep,3.0,8,6d44fd72b4950decfec190f4e06b2e403f532c4c2e5164a437664455dd4d218b,2,0.0006284299793353875,0.062137661476972306,0.0015160732429029353,0.0017164157815159598
coverage_indep,3.0,9,7729e0d941f709a655023c06f4aeec58bba3ca264e744039c53524a5eb4eff98,2,0.0013645761516780873,0.06211261764109033,0.003051648100248719,0.0017164157815159598
coverage_indep,3.0,10,045b26d2ea5261a7a39fd442bfec37ccd2a07978bbd2b36c583804ae660b21db,3,0.0014174582965099992,0.0026953713696087345,,0.0017164157815159598
coverage_indep,3.0,11,db0e7d34c325a1e4af7282a3e12afd8af922533baf76be383e757b4c4a29a7f4,2,0.0012817699965188335,0.06449791563837359,0.002896106757630207,0.0017164157815159598
coverage_indep,3.0,12,3e18c57619ffbd23438db3bd6633ee936fbc2aa507e76bcb20fd7231e0398749,2,0.0009075834471992672,0.11569327832806864,0.0024130301751331827,0.0017164157815159598
coverage_indep,3.0,13,d2ac716336b3693c2c005c67b51ae405520dd5be94d5ac571b20662418f009c3,3,0.0018844596857628404,0.003234680743984142,,0.0017164157815159598
coverage_indep,3.0,14,0deb28aa98d31a7466da0a8a163619130cac888881de838868be69f588b54fca,3,0.0015404520390831177,0.01493077109192531,,0.0017164157815159598
coverage_indep,3.0,15,7c532e061f103877a7397d3339b520856f39984259dc2d410359735678a54c50,3,0.002885270877314672,0.002386429211168939,,0.0017164157815159598
coverage_indep,3.0,16,3b79912cb1fd4c1a6d10f276c7ce87f4b34c01003e25bbe2b85a46640b1236bb,3,0.0017124590347189605,0.006592666769812627,,0.0017164157815159598
coverage_indep,3.0,17,929de53294add4a40d994d02cbdad0219f911fc26b62dc8a1650ff628e94de88,3,0.001934192054493189,0.0038491915923147824,,0.0017164157815159598
coverage_indep,3.0,18,85e69ca9cc32b4d5b41487e034a56eac0f5dff8184392a3e502efb33c07d3ca0,2,0.0012775573353296377,0.0579763334233373,0.0028321664376945097,0.0017164157815159598
coverage_indep,3.0,19,19b543482d5cc82e15914fd4fc266456f53509379cb0058778dbfa707b59b3dd,2,0.0012940532445377296,0.11468158332110567,0.0033399522040001624,0.0017164157815159598
coverage_indep,3.0,20,4e9cb141a481c08ca6113e4d717f58f9baa9f5b4d20c782ce9ae299164cca1ec,3,0.0020197474876480605,0.0019691917728530406,,0.0017164157815159598
coverage_indep,3.0,21,23cd69ba3b3e5b5030fafd703b66f5d1330f18ad07db7efd9b5659a948bb96a8,2,0.0005053706140310199,0.18015373523220546,0.0016746473685788892,0.0017164157815159598
coverage_indep,3.0,22,099aa4c5a077fa14b14bdcb82b69d03635ec135d5b1717c2180b93bb2e932b0a,3,0.0018251460686516396,0.002451183047895933,,0.0017164157815159598
coverage_indep,3.0,23,88a49195de63e5dd05d226500170a286644094fa95805c13453465f4f56138a7,3,0.0011174044266808124,0.049179989290508486,,0.0017164157815159598
coverage_indep,3.0,24,1311a0f7005f3546cf33c74c1b492c19f53b9b83f730fbe79563f265b7fb2f1f,3,0.0009435438720057698,0.014615534952875264,,0.0017164157815159598
coverage_indep,3.0,25,7bf7f3863f6531b1cde835c383cdeb386cc8c876cb4df8f9f7393e8fd5c24beb,2,0.0006070577404503231,0.13603903342817047,0.001762599645838639,0.0017164157815159598
coverage_indep,3.0,26,c9b4679c525e048c0004a8e30d74b85004b5f0b50b6f50a4b00b63447af1db00,3,0.0016185403338324633,0.02053822745444256,,0.0017164157815159598
coverage_indep,3.0,27,54dc0017be1256a707467e932ddc53005dea7ec7eee527cd68f5eb41d8ac0a1f,3,0.0018918927077903325,0.002335846340754899,,0.0017164157815159598
coverage_indep,3.0,28,a9a7d5a69cd4ce866cb4ce011b23f2ba1eda007659374beec23fac83a0e26265,3,0.0017323994420876843,0.006918470004803723,,0.0017164157815159598
