experiment,dgp,dependence,sigma,rep,true_order,khat_bspline,khat_poly,rem1_p_bspline,rem2_p_bspline
bspline_basis,o2,indep,0.0,18,2,2,2,6.661338147750939e-16,0.996547764277852
bspline_basis,o2,indep,0.0,19,2,2,2,7.771561172376096e-15,0.813214442830829
bspline_basis,o2,indep,0.5,0,2,2,2,6.7731376063306925e-12,0.8827893922819785
bspline_basis,o2,indep,0.5,1,2,2,2,4.4075854077618715e-14,0.9979932065288837
bspline_basis,o2,indep,0.5,2,2,2,2,1.1746159600534156e-13,0.9743866867619826
bspline_basis,o2,indep,0.5,3,2,2,2,9.388045896230324e-13,0.8304705026454323
bspline_basis,o2,indep,0.5,4,2,2,2,3.774758283725532e-15,0.92499874650159
bspline_basis,o2,indep,0.5,5,2,2,2,1.4432899320127035e-15,0.9899587395954156
bspline_basis,o2,indep,0.5,6,2,2,2,9.559020242022598e-14,0.9225545930323527
bspline_basis,o2,indep,0.5,7,2,2,2,0.0,0.9113979264312133
bspline_basis,o2,indep,0.5,8,2,2,2,1.5763234151311423e-06,0.8264943582655921
bspline_basis,o2,indep,0.5,9,2,2,2,1.9761969838327786e-14,0.8958141072207901
bspline_basis,o2,indep,0.5,10,2,2,2,0.0001594335286875248,0.7966655638312545
bspline_basis,o2,indep,0.5,11,2,2,2,1.0658141036401503e-14,0.928436444329564
bspline_basis,o2,indep,0.5,12,2,2,2,9.350298313393068e-13,0.8424808729671148
bspline_basis,o2,indep,0.5,13,2,2,2,1.1102230246251565e-15,0.9896556819104202
bspline_basis,o2,indep,0.5,14,2,2,2,3.3306690738754696e-15,0.9065634908490012
bspline_basis,o2,indep,0.5,15,2,2,2,2.1094237467877974e-14,0.994470622243641
bspline_basis,o2,indep,0.5,16,2,2,2,1.4765966227514582e-13,0.9596132868854046
bspline_basis,o2,indep,0.5,17,2,2,2,4.6629367034256575e-14,0.9742772844046497
bspline_basis,o2,indep,0.5,18,2,2,2,8.004708007547379e-14,0.7920842884759494
bspline_basis,o2,indep,0.5,19,2,2,2,1.4432899320127035e-14,0.8783801446868984
bspline_basis,o2,pair0.9,0.0,0,2,2,2,1.1435297153639112e-14,0.8908581857763473
bspline_basis,o2,pair0.9,0.0,1,2,2,2,3.3306690738754696e-16,0.8376869140258002
bspline_basis,o2,pair0.9,0.0,2,2,2,2,2.0838886172214188e-13,0.9585647978861385
bspline_basis,o2,pair0.9,0.0,3,2,2,2,2.90878432451791e-14,0.6015318823143496
bspline_basis,o2,pair0.9,0.0,4,2,2,2,1.3322676295501878e-15,0.8187148608974498
bspline_basis,o2,pair0.9,0.0,5,2,2,2,9.525713551283843e-14,0.8843184473125847
bspline_basis,o2,pair0.9,0.0,6,2,2,2,1.965094753586527e-14,0.8141566127365405
bspline_basis,o2,pair0.9,0.0,7,2,2,2,1.1102230246251565e-16,0.8810348678018486
bspline_basis,o2,pair0.9,0.0,8,2,2,2,7.105427357601002e-15,0.8138681139842614
bspline_basis,o2,pair0.9,0.0,9,2,2,2,1.2212453270876722e-15,0.9947248145450349
bspline_basis,o2,pair0.9,0.0,10,2,2,2,8.659739592076221e-15,0.8596783771793184
bspline_basis,o2,pair0.9,0.0,11,2,2,2,5.2735593669694936e-14,0.6394539784761571
bspline_basis,o2,pair0.9,0.0,12,2,2,2,6.106226635438361e-15,0.7446210506698746
bspline_basis,o2,pair0.9,0.0,13,2,2,2,6.328271240363392e-15,0.8360033266857514
bspline_basis,o2,pair0.9,0.0,14,2,2,2,6.816769371198461e-14,0.9636711347486535
bspline_basis,o2,pair0.9,0.0,15,2,2,2,3.959055305813308e-13,0.9474809058679106
bspline_basis,o2,pair0.9,0.0,16,2,2,2,5.218048215738236e-15,0.9118584087057461
bspline_basis,o2,pair0.9,0.0,17,2,2,2,3.774758283725532e-14,0.7371202100345404
bspline_basis,o2,pair0.9,0.0,18,2,2,2,2.220446049250313e-16,0.9149286273139671
bspline_basis,o2,pair0.9,0.0,19,2,2,2,2.2537527399890678e-14,0.8047619226347964
bspline_basis,o2,pair0.9,0.5,0,2,2,2,0.022129901425721243,0.7236839082236387
bspline_basis,o2,pair0.9,0.5,1,2,2,2,1.0902390101819037e-13,0.9320722627127623
bspline_basis,o2,pair0.9,0.5,2,2,2,2,2.475797344914099e-14,0.9330968445469017
bspline_basis,o2,pair0.9,0.5,3,2,2,2,1.7763568394002505e-15,0.9978919374833876
bspline_basis,o2,pair0.9,0.5,4,2,2,2,2.964295475749168e-14,0.9915508073857338
bspline_basis,o2,pair0.9,0.5,5,2,2,2,2.2792878695554464e-13,0.7786446181723558
bspline_basis,o2,pair0.9,0.5,6,2,2,2,2.7755575615628914e-15,0.9620723648944145
bspline_basis,o2,pair0.9,0.5,7,2,2,2,7.049916206369744e-14,0.8733592055691561
bspline_basis,o2,pair0.9,0.5,8,2,2,2,9.209299989265674e-13,0.8629656435167194
bspline_basis,o2,pair0.9,0.5,9,2,2,2,5.125899704694348e-13,0.8691760892393731
bspline_basis,o2,pair0.9,0.5,10,2,2,2,2.142730437526552e-14,0.8044047880874512
bspline_basis,o2,pair0.9,0.5,11,2,2,2,6.661338147750939e-15,0.9607701928168221
bspline_basis,o2,pair0.9,0.5,12,2,2,2,4.440892098500626e-16,0.965123769293294
bspline_basis,o2,pair0.9,0.5,13,2,2,2,2.6856294965682537e-13,0.852118987203189
bspline_basis,o2,pair0.9,0.5,14,2,2,2,1.687538997430238e-14,0.9602714210590368
