experiment,dgp,dependence,sigma,rep,true_order,khat,rem1_p,rem2_p,rem3_p,ub_cert
ksweep_k4,o2,indep,0.5,0,2,2,4.911626660941693e-13,0.9781676482607312,0.9043945381143134,0.00010929961938222659
ksweep_k4,o2,indep,0.5,1,2,2,1.13464793116691e-13,0.9978055868411106,0.9619679619114004,1.4759987141484045e-06
ksweep_k4,o2,indep,0.5,2,2,2,1.1102230246251565e-15,0.9223381511881636,0.4268987284410626,0.00018074542494701137
ksweep_k4,o2,indep,0.5,3,2,2,4.0523140398818214e-14,0.9385618219592845,0.6431768861793123,0.00016243437259888486
ksweep_k4,o2,indep,0.5,4,2,2,1.2423395645555502e-13,0.90577404474305,0.8208858173450883,0.00020839084154196312
ksweep_k4,o2,indep,0.5,5,2,2,1.0769163338864018e-14,0.9341782989016855,0.4896108668146907,0.0001726144681384949
ksweep_k4,o2,indep,0.5,6,2,2,1.3566925360919413e-13,0.9358149414918522,0.9166792744426114,0.0001699038943094039
ksweep_k4,o2,indep,0.5,7,2,2,7.66053886991358e-15,0.9901633288972471,0.9693646855796071,7.822273654623727e-05
ksweep_k4,o2,indep,0.5,8,2,2,2.0805579481475434e-13,0.9084688096338775,0.8656555490527091,0.0001897178854375864
ksweep_k4,o2,indep,0.5,9,2,2,3.219646771412954e-15,0.9206652033452885,0.703924022290949,0.00018941152857848554
ksweep_k4,o2,indep,0.5,10,2,2,7.216449660063518e-14,0.9948682449330294,0.8944912045069312,1.6904046843483695e-05
ksweep_k4,o2,indep,0.5,11,2,2,2.5635049638594865e-13,0.9769209732113846,0.33999128213859886,0.00010663498839220137
ksweep_k4,o2,indep,0.5,12,2,2,1.787459069646502e-14,0.8990547830218905,0.8358600478003594,0.00018894809644077646
ksweep_k4,o2,indep,0.5,13,2,2,1.9761969838327786e-14,0.9396809496526918,0.6941361881452152,0.0001667819237332134
ksweep_k4,o2,indep,0.5,14,2,2,3.419486915845482e-14,0.9185671014666172,0.5950944443378807,0.00017085811009343504
ksweep_k4,o2,indep,0.5,15,2,2,1.7430501486614958e-14,0.9445356127965747,0.8779647657789236,0.00016449287412469347
ksweep_k4,o2,indep,0.5,16,2,2,2.1316282072803006e-14,0.9125238953742535,0.5121349694996149,0.00019295495155447883
ksweep_k4,o2,indep,0.5,17,2,2,5.417888360170764e-14,0.9894641470204546,0.7801288117962364,7.927149546892634e-05
ksweep_k4,o2,indep,0.5,18,2,2,8.903988657493755e-14,0.9725674726180151,0.8153264208481619,0.0001345784335873751
ksweep_k4,o2,indep,0.5,19,2,2,2.9753977059954195e-14,0.8330990544973536,0.8679775586844085,0.00023133259373890507
ksweep_k4,o2,pair0.5,0.0,0,2,2,4.04121180963557e-14,0.7890954157887817,0.7632794563166596,1.1587481113527472e-05
ksweep_k4,o2,pair0.5,0.0,1,2,2,4.904965322793942e-13,0.9689957414703354,0.8193695184251426,7.544108985586109e-07
ksweep_k4,o2,pair0.5,0.0,2,2,2,8.548717289613705e-15,0.9849586995226762,0.5056000802591298,-1.1079645563924464e-06
ksweep_k4,o2,pair0.5,0.0,3,2,2,6.328271240363392e-15,0.761898331037569,0.8316804356462391,2.6794083370327512e-05
ksweep_k4,o2,pair0.5,0.0,4,2,2,2.3314683517128287e-14,0.7248793041945734,0.8418406640560618,1.3847857483625766e-05
ksweep_k4,o2,pair0.5,0.0,5,2,2,0.0,0.9042347039630153,0.9340071533096453,7.94221229861967e-06
ksweep_k4,o2,pair0.5,0.0,6,2,2,4.6629367034256575e-15,0.937202249080401,0.11300749987254344,7.343708258274977e-06
ksweep_k4,o2,pair0.5,0.0,7,2,2,4.296563105299356e-14,0.7753395627077618,0.2966043659807549,2.9501594771861815e-05
