experiment,dgp,dependence,rep,true_order,khat,rem1_p,rem2_p,rem2_mean,ub_cert
extensions_d5,o2_5,pair0.5,6,2,2,5.917488721252084e-13,0.9836919299537085,-0.00023176506250597307,0.0001928288652088269
extensions_d5,o2_5,pair0.5,7,2,2,2.4091839634365897e-14,0.9749057503727291,-0.0005731085971459104,0.00015956774147013648
extensions_d5,o2_5,pair0.5,8,2,2,4.562905608906931e-12,0.9940973804960394,-0.00024392551124199357,0.00016032219638362655
extensions_d5,o2_5,pair0.5,9,2,2,8.870681966755001e-14,0.8608986437071271,-0.00014532491087191347,0.00034433708708831833
extensions_d5,o2_5,pair0.9,0,2,2,2.470579296698361e-12,0.9953518738928682,-0.0003430490803266295,0.00011600826695998365
extensions_d5,o2_5,pair0.9,1,2,2,1.8297585668847205e-12,0.963938548772538,-0.00025616460621300516,0.00023775207033525683
extensions_d5,o2_5,pair0.9,2,2,2,2.00361949254102e-12,0.9928146456894578,-0.0002852574982274425,0.00015442697188261046
extensions_d5,o2_5,pair0.9,3,2,2,1.9773072068574038e-13,0.9764459081682072,-0.00026726448541639634,0.0002080528133609216
extensions_d5,o2_5,pair0.9,4,2,2,6.296962951068963e-12,0.9994777624628677,-0.0003918266500089307,1.6329469492479926e-05
extensions_d5,o2_5,pair0.9,5,2,2,2.8951285813150207e-12,0.9972409666230653,-0.00032114547258954573,0.00010266413833781834
extensions_d5,o2_5,pair0.9,6,2,2,7.027711745877241e-13,0.9320299538232832,-0.00025191399598335497,0.00028643710021444493
extensions_d5,o2_5,pair0.9,7,2,2,7.072120666862247e-14,0.9972914601275235,-0.0003035299186428198,0.00011194765488140924
extensions_d5,o2_5,pair0.9,8,2,2,2.020605904817785e-14,0.9959592426845543,-0.0003464994701525059,0.0001012252350828927
extensions_d5,o2_5,pair0.9,9,2,2,1.554312234475219e-14,0.994017686594467,-0.00034634627831151563,0.00012076149026235533
extensions_d5,o3_5,indep,0,3,3,2.5049962104617407e-12,9.616751839303106e-13,0.39145828978919633,
extensions_d5,o3_5,indep,1,3,3,1.0956680007723207e-11,1.4660517244635685e-10,0.4108208731016072,
extensions_d5,o3_5,indep,2,3,3,1.6662393687028043e-10,1.8119283851092405e-11,0.4013690006569818,
extensions_d5,o3_5,indep,3,3,3,1.3119505481995475e-11,7.554901149120496e-11,0.3849671912867044,
extensions_d5,o3_5,indep,4,3,3,2.5983659668327164e-12,1.868838417351526e-12,0.37910488700384365,
extensions_d5,o3_5,indep,5,3,3,5.394462654351173e-12,8.112177596331094e-12,0.3884964024348593,
extensions_d5,o3_5,indep,6,3,3,2.4364621431516298e-11,1.1436407376663738e-12,0.3858278723565882,
extensions_d5,o3_5,indep,7,3,3,1.1085388162968002e-10,2.7431434901359353e-10,0.38675803469327596,
extensions_d5,o3_5,indep,8,3,3,4.4612591398873747e-10,1.6150831783079411e-09,0.39556758155340715,
extensions_d5,o3_5,indep,9,3,3,2.1392554394594754e-11,3.0248248350517315e-11,0.35998414788806615,
extensions_d5,o3_5,pair0.5,0,3,3,5.428624216818889e-11,4.39853500289189e-08,0.1461675596850463,
extensions_d5,o3_5,pair0.5,1,3,3,2.1901036539873076e-11,4.247987406280629e-09,0.1580432497155137,
extensions_d5,o3_5,pair0.5,2,3,3,1.3682442068230216e-08,8.653437189032331e-09,0.13585545061718524,
