experiment,sigma,rep,data_seed,data_hash,khat_ordersweep,khat_cv1se,rem1_p,rem2_p,rem2_mean,ub_cert,cv_mse_gap23,cv_1se_margin,cv_1se_cutoff
discriminator_power,2.0,3,3469037477,a90b6870ceacdf117560d742b57bae5ef5b9bd6d0156eb668ab765a346a0f06d,3,3,9.185441296466479e-11,0.009953142140944782,0.002672893850267988,,0.016387082456637447,0.016139905664376026,3.9880867935435496
discriminator_power,2.0,4,3469038454,8b3fe579d04277fb3c4af17ce31550ee703f6a7830da015b6da4399863e6cadf,3,2,2.528678599844625e-09,0.0005767764838784384,0.0032259181812119286,,0.02041488822155557,0.03304524690349785,4.108920793492183
discriminator_power,2.0,5,3469039431,205cd50c94af153760b459fe642318fd07deea85d7cc4b1241dd6f8b25c8df02,3,2,1.366205260033837e-09,0.0007528702483544647,0.0033688898002265043,,0.02067824904634108,0.031160119121747838,3.956192871660234
discriminator_power,2.0,6,3469040408,4a5dd6c59838fffd8b0b052741b92ecff6bd8e19e75ca7428ff91668190fe7f2,3,2,7.522538147952673e-12,0.00010954081622349676,0.003225569099996728,,0.02276158927566385,0.04348208146160662,4.0615837505911685
discriminator_power,2.0,7,3469041385,63b37e07915de97481d15a1aa441a78fc724c8baaf99ef84da7384fc0570c1aa,3,2,1.5975311074001297e-09,0.014977432846007166,0.0021851257347963115,,0.016963809832073462,0.04722959538267967,3.9843773154099895
discriminator_power,2.0,8,3469042362,7d4e01d0ea33dff829138cce699fd26a505a7cff8cade48c220e3921dd2bfa84,3,2,1.7530421558831222e-11,0.00047886052055046147,0.0035283857523319417,,0.02591302342685875,0.043522793005454564,4.027637785047745
discriminator_power,2.0,9,3469043339,6c89b69db9c651a867354ffc78eb1d61d23ac6f56869e71254f97e7743c3a1f2,3,2,1.6843493266804899e-10,0.006947021638430528,0.0029744295531905717,,0.018468989463308993,0.02231392987336802,4.063643629807304
discriminator_power,2.0,10,3469044316,68417c0f0ff46bd35fbb9fdc30e36f9fb48aca78a1a0e9cce35fed46fa8fbb10,3,2,1.1597771631954856e-09,0.0011850626290029753,0.0022825015942699034,,0.017600050339349416,0.05626472894387806,4.104441043402849
discriminator_power,2.0,11,3469045293,9b2fee75b9d21c1c7db5e02b0c7c9f83b569322eaf39e6620342f1fb0a8e488c,3,2,1.2816232519696769e-09,0.0005922680852770146,0.0029382079821239416,,0.018541446869162925,0.033919798040702456,4.067505213297988
discriminator_power,2.0,12,3469046270,91d5a8bcab5f6bda9cfc85e99a8f43b26a53a1cadbabcbba86cb33a3488a90eb,3,3,3.2462066368310616e-10,0.000129740891224972,0.004016280562604379,,0.02661056377264437,0.020221760192833935,4.044066509825984
discriminator_power,2.0,13,3469047247,473e987cd82e28180adc40e5708eec05807dadba14ef60ae73231845b4702bed,3,2,2.82531997797264e-09,0.0004997256250555138,0.0036235248135313646,,0.023682842400241988,0.06988997336387809,3.986419900823808
discriminator_power,2.0,14,3469048224,ff656ce4fc10ab32b5f51c4157883aced4b08a1bdb7665abded72d28edcd5c89,3,2,1.38215328071567e-10,0.001526538578578207,0.0025663449875924617,,0.01740979744925575,0.02807264504178741,4.041155577952798
discriminator_power,2.0,15,3469049201,86fc671b8bfae114ca9ee6e3ffd2d610bc6392957385042d38ed806953847322,3,2,4.6243231466291945e-11,0.024860393754758903,0.001977694851524936,,0.01912690083701296,0.04761481781672711,4.0515827098972945
discriminator_power,2.0,16,3469050178,0e3dfd71b8d1bff6a43f4a9e1242c2f97ecf909368ee67bf6512e14156766cba,3,2,7.052208816915595e-10,0.00838464703101427,0.00225636737995355,,0.01670447401181452,0.028410140185374928,3.980759120389391
discriminator_power,2.0,17,3469051155,0a1609a3128c618f72470ade9298af2cdd079bfc8998a420858f34fc5792a686,3,2,9.977751957990222e-11,0.0007695460276856414,0.002703604397916626,,0.018431041201544485,0.02706910690326995,3.9852434084427752
discriminator_power,2.0,18,3469052132,ac4ba09f9a962bdbf509f4eddf5145c6575aafb8a11fa8288c1fd28c72a23eb7,3,2,2.3005878313497874e-07,0.002530965928867035,0.0032171027613999703,,0.019244100462748825,0.031456762111449335,4.044926715059783
discriminator_power,2.0,19,3469053109,aed933ac00d1a546ce79dcadc8d2e562670be49e9fd1511bec6d9223cb0c0d8f,3,2,1.0400373451346923e-08,0.003238943738058553,0.0026010749743049398,,0.0160967703671675,0.05269545986846386,4.074683655730548
discriminator_power,2.5,0,658327753,79f70c2a75a5fb465b401907ef1f4e39b289fb7b97a6269c8276626cf49da5a4,3,2,5.350250131819223e-09,0.0015033108842782417,0.0013092772688373055,,0.011982538257364617,0.06415141504280099,6.295547320286035
